latitude,longitude,name
40.863611,-73.878333,New York Botanical Garden
38.6141,-90.2589,Missouri Botanical Garden
42.378819,-71.114589,Harvard University Herbaria
38.8888,-77.026,United States National Herbarium
41.866278,-87.617039,Field Museum
37.871303,-122.262436,University and Jepson Herbaria
48.842109,2.356286,Museum National d'Histoire Naturelle
59.970685,30.321007,Komarov Botanical Institute
51.474667,-0.295467,Royal Botanic Gardens Kew
46.227410,6.146967,Conservatoire et Jardin botaniques de la Ville de Geneve
51.496414,-0.178118,British Museum of Natural History
48.205212,16.359399,Naturhistorisches Museum Wien
59.368999,18.053043,Swedish Museum of Natural History (Naturhistoriska riksmuseet)
52.165119,4.475357,National Herbarium of the Netherlands (Nationaal Herbarium Nederland)
43.631944,3.863889,Universite Montp
45.780837,4.867900,Universite Claude Bernard
47.358727,8.559751,Joint Herbarium of the University of Zurich and the ETH Zurich
50.928664,4.326260,National Botanic Garden of Belgium
52.456173,13.306054,Botanischer Garten und Botanisches Museum Berlin-Dahlem
60.171282,24.931378,Finnish Museum of Natural History (University of Helsinki)
48.164844,11.497351,Botanische Staatssammlung Muenchen
55.690116,12.567992,University of Copenhagen
55.963086,-3.212224,Royal Botanic Garden
39.992270,116.214663,Chinese National Herbarium
-6.486492,106.854193,Herbarium Bogoriense
35.714897,139.768633,University of Tokyo
53.558837,9.862371,Herbarium Hamburgense
37.7701,-122.466407,California Academy of Sciences Herbarium
42.236256,-83.727517,University of Michigan Herbarium
